idProduct,idCategory_x,AVG,LOW,TREND,AVG1,AVG7,AVG30,AVGFOIL,LOWFOIL,trend-foil,avg1-foil,avg7-foil,avg30-foil,LOWEX+,name,idCategory_y,categoryName,idExpansion,idMetacard,dateAdded,expansionName,real_discount,lowex_to_trend_ratio,price_momentum,condition_premium
5087,1,81.48,58.94,103.9,120.0,77.84,96.74,,,0.0,,,,64.834,Wrath of God,1.0,Magic Single,3,6734.0,2007-01-01 00:00:00,Unlimited,0.25081809432146296,0.6240038498556304,0.5416238437821171,0.1000000000000001
5311,1,55.09,27.54,70.35,55.09,52.72,76.73,,,0.0,,,,30.294,Siren's Call,1.0,Magic Single,1,5226.0,2007-01-01 00:00:00,Alpha,0.2506041222459132,0.43061833688699364,0.044954476479514505,0.10000000000000005
685882,1,70.0,149.99,70.0,70.0,52.5,52.5,,,0.0,,,,164.98900000000003,Fire Elemental,1.0,Magic Single,5199,2044.0,2022-11-18 06:49:22,,0.25,2.356985714285715,0.3333333333333333,0.10000000000000016
5237,1,58.0,45.0,113.26,58.0,85.84,129.12,,,0.0,,,,49.50000000000001,Bog Wraith,1.0,Magic Single,1,635.0,2007-01-01 00:00:00,Alpha,0.24209782800635707,0.4370475013243864,-0.32432432432432434,0.10000000000000016
5443,1,77.66,43.0,98.53,65.0,74.71,89.43,,,0.0,,,,47.300000000000004,Karma,1.0,Magic Single,1,3021.0,2007-01-01 00:00:00,Alpha,0.2417537805744444,0.48005683548157924,-0.129969214295275,0.1000000000000001
5368,1,47.38,34.87,67.63,47.38,51.82,75.45,,,0.0,,,,38.357,Wanderlust,1.0,Magic Single,1,6509.0,2007-01-01 00:00:00,Alpha,0.23377199467691848,0.5671595445808073,-0.08568120416827475,0.10000000000000006
15353,1,50.63,12.0,66.95,55.0,51.67,53.13,,,0.0,,,,13.200000000000001,Shivan Dragon,1.0,Magic Single,57,5148.0,2007-01-01 00:00:00,,0.2282300224047797,0.19716206123973115,0.064447455002903,0.10000000000000009
272744,1,0.0,68.0,102.07,110.0,78.85,63.66,,,0.0,,,,74.80000000000001,Cosmic Horror,1.0,Magic Single,1600,1154.0,2015-02-26 16:43:05,,0.22749093759184874,0.7328304105025965,0.39505389980976546,0.10000000000000017
21309,1,120.0,100.0,97.31,120.0,75.36,54.06,,,0.0,,,,110.00000000000001,Blacker Lotus,1.0,Magic Single,110,6848.0,2007-01-01 00:00:00,,0.22556777309629022,1.1304079745144384,0.5923566878980892,0.10000000000000014
682400,1,105.0,90.0,102.44,105.0,79.5,79.5,,,0.0,,,,99.00000000000001,Copy Artifact,1.0,Magic Single,5199,1136.0,2022-11-01 09:59:36,,0.2239359625146427,0.966419367434596,0.32075471698113206,0.10000000000000016
685922,1,65.0,65.0,91.31,65.0,71.0,71.0,,,0.0,,,,71.5,Channel,1.0,Magic Single,5199,924.0,2022-11-18 07:15:49,,0.22242908772314096,0.7830467637717665,-0.08450704225352113,0.1
685911,1,75.0,74.99,79.25,75.0,61.67,61.67,,,0.0,,,,82.489,Stone Rain,1.0,Magic Single,5199,5627.0,2022-11-18 07:07:24,,0.2218296529968454,1.040870662460568,0.21615047835252146,0.10000000000000013
5372,1,21.95,20.0,89.11,23.73,69.57,53.6,,,0.0,,,,22.0,Burrowing,1.0,Magic Single,1,760.0,2007-01-01 00:00:00,Alpha,0.21927954213892947,0.24688587139490517,-0.6589047003018541,0.1
16669,1,150.0,0.0,158.38,150.0,124.11,124.11,,,0.0,,,,0.0,Wall of Wood,1.0,Magic Single,76,6500.0,2007-01-01 00:00:00,,0.2163783305972976,0.0,0.2086052695189751,0.0
5104,1,79.0,59.95,102.65,89.99,80.66,86.18,,,0.0,,,,65.94500000000001,Copper Tablet,1.0,Magic Single,2,1133.0,2007-01-01 00:00:00,Beta,0.214223088163663,0.6424257184607891,0.11567071658814776,0.10000000000000007
